TIME,X,Y,Z
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:00,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
8/17/2023 13:01,0,0,0
